,name,group_order,prd_tuples
155,A_2^1+A_2^1+B_2^1+A_3^1,24,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (3, 1, 1)]"
156,A_2^1+B_2^1+B_2^1+A_3^1,24,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (3, 1, 1)]"
157,B_2^1+B_2^1+B_2^1+A_3^1,24,"[(2, 1, 2), (2, 1, 2), (2, 1, 2), (3, 1, 1)]"
158,A_2^1+A_2^1+A_2^1+B_3^1,24,"[(2, 1, 1), (2, 1, 1), (2, 1, 1), (3, 1, 2)]"
159,A_2^1+A_2^1+B_2^1+B_3^1,24,"[(2, 1, 1), (2, 1, 1), (2, 1, 2), (3, 1, 2)]"
160,A_2^1+B_2^1+B_2^1+B_3^1,24,"[(2, 1, 1), (2, 1, 2), (2, 1, 2), (3, 1, 2)]"
161,B_2^1+B_2^1+B_2^1+B_3^1,24,"[(2, 1, 2), (2, 1, 2), (2, 1, 2), (3, 1, 2)]"
162,A_5^2,25,"[(5, 2, 1)]"
163,B_5^2,25,"[(5, 2, 2)]"
164,A_5^1+A_5^1,25,"[(5, 1, 1), (5, 1, 1)]"
165,A_2^1+A_13^1,26,"[(2, 1, 1), (13, 1, 1)]"
166,B_2^1+A_13^1,26,"[(2, 1, 2), (13, 1, 1)]"
167,A_2^1+B_13^1,26,"[(2, 1, 1), (13, 1, 2)]"
168,B_2^1+B_13^1,26,"[(2, 1, 2), (13, 1, 2)]"
169,A_3^3,27,"[(3, 3, 1)]"
170,B_3^3,27,"[(3, 3, 2)]"
171,A_3^2+A_3^1,27,"[(3, 2, 1), (3, 1, 1)]"
172,B_3^2+A_3^1,27,"[(3, 2, 2), (3, 1, 1)]"
173,A_3^2+B_3^1,27,"[(3, 2, 1), (3, 1, 2)]"
174,B_3^2+B_3^1,27,"[(3, 2, 2), (3, 1, 2)]"
175,A_3^1+A_3^1+A_3^1,27,"[(3, 1, 1), (3, 1, 1), (3, 1, 1)]"
176,A_3^1+A_3^1+B_3^1,27,"[(3, 1, 1), (3, 1, 1), (3, 1, 2)]"
177,A_2^2+A_7^1,28,"[(2, 2, 1), (7, 1, 1)]"
178,B_2^2+A_7^1,28,"[(2, 2, 2), (7, 1, 1)]"
179,C_2^2+A_7^1,28,"[(2, 2, 3), (7, 1, 1)]"
180,D_2^2+A_7^1,28,"[(2, 2, 4), (7, 1, 1)]"
181,A_2^2+B_7^1,28,"[(2, 2, 1), (7, 1, 2)]"
182,B_2^2+B_7^1,28,"[(2, 2, 2), (7, 1, 2)]"
183,C_2^2+B_7^1,28,"[(2, 2, 3), (7, 1, 2)]"
184,D_2^2+B_7^1,28,"[(2, 2, 4), (7, 1, 2)]"
185,A_2^1+A_2^1+A_7^1,28,"[(2, 1, 1), (2, 1, 1), (7, 1, 1)]"
186,A_2^1+B_2^1+A_7^1,28,"[(2, 1, 1), (2, 1, 2), (7, 1, 1)]"
187,B_2^1+B_2^1+A_7^1,28,"[(2, 1, 2), (2, 1, 2), (7, 1, 1)]"
188,E_2^1+A_7^1,28,"[(2, 1, 5), (7, 1, 1)]"
189,F_2^1+A_7^1,28,"[(2, 1, 6), (7, 1, 1)]"
190,A_2^1+A_2^1+B_7^1,28,"[(2, 1, 1), (2, 1, 1), (7, 1, 2)]"
191,A_2^1+B_2^1+B_7^1,28,"[(2, 1, 1), (2, 1, 2), (7, 1, 2)]"
192,B_2^1+B_2^1+B_7^1,28,"[(2, 1, 2), (2, 1, 2), (7, 1, 2)]"
193,E_2^1+B_7^1,28,"[(2, 1, 5), (7, 1, 2)]"
194,F_2^1+B_7^1,28,"[(2, 1, 6), (7, 1, 2)]"
195,A_29^1,29,"[(29, 1, 1)]"
196,B_29^1,29,"[(29, 1, 2)]"
197,A_2^1+A_3^1+A_5^1,30,"[(2, 1, 1), (3, 1, 1), (5, 1, 1)]"
198,B_2^1+A_3^1+A_5^1,30,"[(2, 1, 2), (3, 1, 1), (5, 1, 1)]"
199,A_2^1+B_3^1+A_5^1,30,"[(2, 1, 1), (3, 1, 2), (5, 1, 1)]"
200,B_2^1+B_3^1+A_5^1,30,"[(2, 1, 2), (3, 1, 2), (5, 1, 1)]"
201,A_2^1+A_3^1+B_5^1,30,"[(2, 1, 1), (3, 1, 1), (5, 1, 2)]"
202,B_2^1+A_3^1+B_5^1,30,"[(2, 1, 2), (3, 1, 1), (5, 1, 2)]"
